year	filing_id	filing_date	owner	asset	ticker	type	transaction_date	notification_date	amount_range	price_trade_date	price_filing_date	pdf_url
2022	20021837	10/14/2022	SP	Micron Technology, Inc.	MU	Sell	09/16/2022	09/16/2022	$15,001 - $50,000	52.45	53.5867	https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20021837.pdf
2022	20021837	10/14/2022	SP	NVIDIA Corporation	NVDA	Sell	09/16/2022	09/16/2022	$100,001 - $250,000	13.009	11.514	https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20021837.pdf
2022	20021837	10/14/2022	SP	Walt Disney Company	DIS	Sell	09/16/2022	09/16/2022	$1	108.2633	95.6233	https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20021837.pdf
2022	20021438	07/26/2022	SP	NVIDIA Corporation	NVDA	Sell	07/26/2022	07/26/2022	$1,000,001 - $5,000,000	16.6433	16.6433	https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20021438.pdf
2022	20020208	01/12/2022	SP	Apple Inc.	AAPL	Sell	12/30/2021	12/30/2021	$500,001	178.9533	175.8433	https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020208.pdf
2022	20020208	01/12/2022	SP	Apple Inc.	AAPL	Sell	12/30/2021	12/30/2021	$500,001	178.9533	175.8433	https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020208.pdf
2025	20033337	10/24/2025	SP	Apple Inc. - Common Stock	AAPL	Sell	10/22/2025	10/22/2025	$100,001	258.91	262.0433	https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20033337.pdf
2025	20026590	01/17/2025	SP	Alphabet Inc. - Class A Common	GOOGL	Buy	01/14/2025	01/14/2025	$250,001	189.9833	195.66	https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20026590.pdf
2025	20026590	01/17/2025	SP	Amazon.com, Inc. - Common Stock	AMZN	Buy	01/14/2025	01/14/2025	$250,001	218.5933	225.1767	https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20026590.pdf
2025	20026590	01/17/2025	SP	Apple Inc. - Common Stock	AAPL	Sell	12/31/2024	12/31/2024	$5,000,001	251.0433	230.25	https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20026590.pdf
2025	20026590	01/17/2025	SP	NVIDIA Corporation - Common	NVDA	Sell	12/31/2024	12/31/2024	$1,000,001	135.3967	137.2233	https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20026590.pdf
2025	20026590	01/17/2025	SP	NVIDIA Corporation - Common	NVDA	Buy	12/20/2024	12/20/2024	$500,001	132.7333	137.2233	https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20026590.pdf
2025	20026590	01/17/2025	SP	NVIDIA Corporation - Common	NVDA	Buy	01/14/2025	01/14/2025	$250,001	132.73	137.2233	https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20026590.pdf
2025	20026590	01/17/2025	SP	Palo Alto Networks, Inc.	PANW	Buy	12/20/2024	12/20/2024	$1,000,001	188.2167	178.4867	https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20026590.pdf
2025	20026590	01/17/2025	SP	Tempus AI, Inc. - Class A Common	TEM	Buy	01/14/2025	01/14/2025	$50,001	32.7033	35.1433	https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20026590.pdf
2025	20026590	01/17/2025	SP	Vistra Corp. Common Stock	VST	Buy	01/14/2025	01/14/2025	$500,001	170.4	170.2133	https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20026590.pdf
2025	20030630	07/09/2025	SP	Broadcom Inc. - Common Stock	AVGO	Buy	06/20/2025	06/20/2025	$1,000,001	249.2267	276.69	https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20030630.pdf
2024	20025368	07/02/2024	SP	Broadcom Inc. - Common Stock	AVGO	Buy	06/24/2024	06/24/2024	$1,000,001	161.4623	164.6227	https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025368.pdf
2024	20025368	07/02/2024	SP	NVIDIA Corporation - Common	NVDA	Buy	06/26/2024	06/26/2024	$1,000,001	125.7067	122.37	https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025368.pdf
2024	20025368	07/02/2024	SP	Tesla, Inc. - Common Stock	TSLA	Sell	06/24/2024	06/24/2024	$250,001	184.6433	226.8733	https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025368.pdf
2024	20025368	07/02/2024	SP	Visa Inc.	V	Sell	07/01/2024	07/01/2024	$500,001 - $1,000,000	263.4367	266.2867	https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025368.pdf
2024	20025535	07/30/2024	SP	Microsoft Corporation - Common	MSFT	Sell	07/26/2024	07/26/2024	$1,000,001	423.82	423.11	https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025535.pdf
2024	20025535	07/30/2024	SP	NVIDIA Corporation - Common Stock	NVDA	Buy	07/26/2024	07/26/2024	$1,000,001	113.6133	106.0867	https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025535.pdf
2024	20024542	02/23/2024	SP	Palo Alto Networks, Inc.	PANW	Buy	02/12/2024	02/12/2024	$500,001	185.9667	139.6717	https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024542.pdf
2024	20024542	02/23/2024	SP	Palo Alto Networks, Inc.	PANW	Buy	02/21/2024	02/21/2024	$100,001	133.0067	139.6717	https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024542.pdf
2023	20023080	06/06/2023	SP	Apple Inc.	AAPL	Sell	05/08/2023	05/08/2023	$500,001 - $1,000,000	173.1533	178.92	https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2023/20023080.pdf
2023	20023192	06/22/2023	SP	Apple Inc.	AAPL	Buy	06/15/2023	06/15/2023	$250,001 - $500,000	185.4367	185.9067	https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2023/20023192.pdf
2023	20023192	06/22/2023	SP	Microsoft Corporation	MSFT	Buy	06/15/2023	06/15/2023	$500,001 - $1,000,000	345.0467	337.7233	https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2023/20023192.pdf
2023	20022664	04/06/2023	SP	Apple Inc.	AAPL	Buy	03/17/2023	03/17/2023	$500,001 - $1,000,000	155.34	163.8733	https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2023/20022664.pdf
2023	20022260	01/12/2023	SP	Alphabet Inc. - Class A	GOOGL	Sell	12/28/2022	12/28/2022	$500,001 - $1,000,000	86.6667	90.9167	https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2023/20022260.pdf
2023	20022260	01/12/2023	SP	Alphabet Inc. - Class A	GOOGL	Sell	12/20/2022	12/20/2022	$500,001 - $1,000,000	88.5467	90.9167	https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2023/20022260.pdf
